PIDENT peak1 peak2 peak3 cen1 cen2 cen3 size1 size2 size3 sum peak volume Glon Glat Sigma_max Sigma_min Angle
1 94.0000000000016 24.99999999999902 99.00000000000001 93.99999994811691 24.999999942296242 98.69287116758484 2.6535350181666453 3.4792427985904983 4.707473053444565 3931.692000104186 6.5866473892743596 16516.573215899807 94.24977243298629 25.24999525940497 3.8525508000000004 2.0747472 329.3692
2 94.00000000000081 105.99999999999898 27.999999999999993 93.99999944187395 106.00000019236069 27.732631555204065 2.741215811647096 2.9607212997400123 3.110256091192491 981.9352900925026 2.8179368614281235 8540.197916740457 94.24995099213848 106.24999633468826 3.4963752 2.0138292 220.6034
3 98.99999999999902 88.99999999999898 17.000000000000004 98.99999986298526 88.99999987901816 17.483074030520886 3.510200102184307 2.9738333823785794 3.3459270335927886 2896.1437970876536 5.889768836790646 13305.159143003842 99.24953129594762 89.24999414406817 3.9761412 2.3142528 305.2935
4 96.99999999999984 93.99999999999896 79.0 97.00000006051592 93.99999999019198 79.0730054427154 2.1636973888322717 3.8568521763220858 4.5960951434542485 4375.66496003187 7.272850880306153 16911.005872434722 97.25009323316932 94.25000121779492 3.8741771999999997 2.1325548 186.5033
5 93.00000000000233 43.99999999999897 92.0 93.0000004141744 44.000000553938314 92.27330895158809 3.504451856189284 2.8641738793803886 3.991242019098262 2862.4884469554845 4.934128109704059 15424.655091922476 93.24970702992746 44.25000163181963 3.8495136000000003 2.3803416 301.7805
6 70.00000000000134 45.99999999999898 101.0 69.99999969765584 45.99999941533684 100.61708199343305 2.983128525989595 2.9383816855678493 4.44577029775174 1171.526893178723 2.0618837155040075 13306.86797250381 70.24965147987045 46.24999544307107 3.5117184 2.2805916 313.9464
7 54.00000000000037 22.999999999998977 73.0 54.00000070374658 22.999999312097103 72.6937245330844 3.536985767290995 2.674656532695191 4.02072968118724 2259.455435060751 3.95222977702922 14727.642979238455 54.25050861136519 23.249995626865015 3.7278816 2.4014748 245.6215
8 24.999999999997016 86.99999999999896 24.999999999999993 24.99999971973608 87.00000068172899 25.3084291978975 3.7430412044044954 2.497214930745512 3.011502245316012 1379.3619256953623 3.1558404225714667 10885.313087396016 25.249828044596228 87.25000418088581 3.8011800000000004 2.4078048 257.0051
9 103.00000000000107 86.99999999999896 74.00000000000001 103.00000008030696 87.00000004347963 74.45909118397316 3.6206556348577554 2.6922872607468893 3.3839332821308132 4204.021068068905 8.859070714033567 13570.263962378007 103.24970589878222 87.24999474272555 3.9130872 2.2462488 242.4136
10 108.99999999999933 36.999999999998984 21.00000000000001 108.99999990864278 37.00000009429031 21.388827978225276 2.3406280121938523 3.52131170421203 4.12127522633649 4688.263774786661 8.70893476648393 15428.526187382258 109.2496044062724 37.250000380184375 3.5223456 2.3390867999999996 358.1578
