PIDENT peak1 peak2 peak3 cen1 cen2 cen3 size1 size2 size3 sum peak volume Glon Glat Sigma_max Sigma_min Angle
1 85.00000000000084 62.99999999999898 61.00000000000001 84.99999994291544 62.99999963737356 61.11756587754219 2.393012382156015 3.714876034496815 3.0624972896071396 2993.0509435368485 7.167817614567475 11719.40641250197 85.2503437751706 63.2500031821844 3.7888764 2.274066 345.7774
2 45.99999999999682 65.999999999999 76.0 45.99999988878761 65.99999999258314 75.62446589752601 2.2954262342165253 3.8284549907054264 4.21649538118756 4484.041013415676 7.923168834366632 15999.97167779916 46.24999267382148 66.24999233942222 3.9042804 2.1639876 346.3876
3 104.99999999999923 20.999999999999005 54.0 105.00000033323097 21.00000022936726 54.381499900997234 2.9002688093635793 3.0392243992097576 4.307329188867079 2563.704051406576 4.875459177224633 13940.294259379567 105.25003031933053 21.250001757587484 3.6314844 2.1120432 317.7197
4 106.99999999999903 43.99999999999898 90.00000000000001 106.99999987514585 43.99999987786305 89.89653771512359 2.7644204051419146 3.3898322293727645 3.054229199522673 3254.3812021600133 8.48901846399957 10992.695332540188 107.25015392146435 44.249997367308374 3.8617823999999996 2.0542751999999997 214.4606
5 67.9999999999988 55.99999999999898 35.0 68.00000006872938 56.000000290119075 34.82977408866523 3.578206023604198 2.4536841297186855 3.3384218944081527 4232.563457575598 9.1530143112481 13380.731062792476 68.25019891844633 56.24999703903855 3.5925696 2.4326196 276.983
6 36.999999999998295 28.999999999998984 40.99999999999999 37.00000001222264 28.999999882828988 40.89047584348521 2.795167338754733 3.351375598701702 4.065332058880933 1759.5255967546486 3.206928369950163 13758.072049496532 37.249813501394044 29.250004874750736 3.7108008 2.2966691999999997 213.152
7 32.00000000000068 49.999999999999 38.0 32.00000017183302 49.99999971379257 37.899692982232956 3.5413720446003505 2.2565148476202785 4.409157466862362 1842.3084424763417 3.3053298179338646 14015.51566789085 32.25040053683813 50.249993559892545 3.5462952 2.2488143999999997 273.9129
8 43.000000000001876 55.99999999999899 15.999999999999996 43.0000001202188 56.00000002459192 15.930196164400751 3.57372565713972 2.5385628418682913 3.180515590367734 3653.8123392916896 8.1096336655604 12807.669811636531 43.2498856487575 56.2499941828075 3.6075467999999997 2.4902772 280.8971
9 87.00000000000234 36.999999999999 96.00000000000001 86.99999997477909 36.99999986763363 95.59875517587307 2.941806169646979 3.5037298706852282 4.876166495388109 3608.442309155079 4.870590512696543 19637.212066632557 87.24963752601523 37.24999812403461 3.8342592 2.495802 327.663
10 32.00000000000176 93.99999999999899 55.00000000000001 32.000000202367005 93.99999983738327 55.40427378315705 2.4576868680687176 3.922140521516236 3.51335581430884 4542.518626088551 8.475297573765426 15307.410372115926 32.24966138114161 94.2499995334822 3.9288768000000003 2.4469763999999996 184.2949
11 96.00000000000195 17.99999999999899 81.00000000000001 96.00000026206379 17.999999614337156 80.7843102741516 2.913583011536202 3.2077041935151986 3.926579033146571 2287.7076800460345 4.172823847781992 14241.199673469051 96.25032208921841 18.249996597637306 3.5537784 2.4797184 216.9469
12 70.99999999999785 56.99999999999898 45.0 71.00000002814697 56.99999985925829 45.07017512328064 3.4203384326082023 2.5926932898826593 4.443284764002114 4274.721444324064 7.014015189791442 17024.41641800478 71.2503494250482 57.249993651143186 3.5070324 2.4741720000000003 288.1783
13 92.00000000000037 79.99999999999895 94.0 91.99999987887978 80.00000025422321 94.1612251926921 3.5690203060585466 2.75957816591037 3.2714961361319808 3582.8471299852526 7.646515817511732 13226.408125804663 92.25018664911805 80.25000207081175 3.8498172000000004 2.3520576 298.2754
14 29.999999999997613 58.999999999999005 29.0 30.00000013013687 58.99999971416708 29.125262359528378 2.353686121415903 3.5720821490962313 3.358099229623868 3102.2282833149425 7.0100472304312795 12333.300978782518 30.250199532159627 59.250000135642104 3.5910816 2.3246328000000003 187.7587
15 102.9999999999999 101.99999999999898 80.0 103.00000007693514 101.99999962637094 79.69465477208092 2.8739644812164693 3.3492673252724967 3.805848513146593 2365.7619041801236 4.32310090848724 14267.896821784876 103.24952660476876 102.24999493362427 3.6443436 2.4891948 212.6707
16 84.99999999999648 21.999999999998977 38.0 85.00000013451101 21.999999982895886 37.59702325569079 3.5029580540632614 2.6667221604774274 4.602806048294369 3455.231995272461 5.228785254987311 17705.435512305965 85.25006987220235 22.24999855091299 3.636948 2.480886 291.587
17 104.99999999999966 98.99999999999898 67.99999999999999 104.99999995483954 99.0000001913696 67.61981266454528 2.949123859191364 3.3684086086534637 3.562448116716157 4347.494231210495 9.311383710503877 13478.566146391251 105.25047962663332 99.2500025039534 3.9653736000000004 2.0783964 218.2938
18 77.99999999999784 33.99999999999898 95.0 78.0000004334161 33.999999797725074 94.77464404110562 3.4935325343635433 2.4750383513335987 3.8940859403481998 2138.888912979515 4.092432046325298 13548.871180126442 78.25010054316351 34.250001335943864 3.5615555999999997 2.3761343999999998 285.1453
19 32.99999999999787 58.999999999998984 18.00000000000001 32.99999948250789 59.00000045663988 17.75889026964622 2.2529179124959686 3.4907202611880948 3.1127969484484583 1357.8608905381561 3.559808844673645 9685.254053455457 33.25012405291616 59.24999977501656 3.534768 2.1831731999999997 191.5585
20 70.99999999999835 15.999999999998991 95.0 70.99999997374387 16.00000002707013 94.91874672305349 3.6962868987494457 2.46247036689113 3.0863923110860263 2200.262510582805 4.956559344011255 11836.403006214714 71.25018290701102 16.25000079100279 3.698136 2.4597084 267.5912
21 20.99999999999875 49.999999999998984 83.0 20.99999992593635 49.99999986514304 83.12371044321961 2.4369971308182743 3.6786766017119197 4.743760497267005 6558.876885410707 9.74424784628936 19651.42131422156 21.250088812834747 50.249995681341666 3.68037 2.4344568 357.7058
22 52.99999999999838 17.999999999999005 33.99999999999999 52.999999883521184 18.00000021892555 34.38758868382024 2.4080820220494688 3.528352153647908 4.5653375107531735 2033.3085405838674 3.3856887296046954 15094.276435829055 53.2496492259024 18.24999392182032 3.6058428 2.2904267999999997 195.4992
23 79.99999999999974 55.99999999999895 27.999999999999993 80.00000007451291 56.000000132471456 27.91371905562358 3.25969897102777 3.1973435565995953 4.93553770717762 5133.404454136021 6.989165836619751 20525.55908207436 80.24996514248225 56.24999436558326 3.8653703999999998 2.4305988000000003 313.7332
24 15.999999999997868 47.99999999999899 63.00000000000002 15.999999995787647 48.000000001036156 62.98359680880604 2.7407505174930606 3.2491849114581646 4.0955857091992725 4451.266186971009 8.538766539414905 14937.365822312066 16.250301627830993 48.2499998458717 3.6262524 2.2179456 214.1599
25 39.00000000000409 35.999999999998984 103.99999999999997 39.00000001217694 36.00000004147643 103.60111215410625 2.087925862822059 3.7099118779107005 3.492856615426316 3388.1036612821126 8.03185740088031 11914.46404829456 39.249766333946354 36.24999766183808 3.7386792 2.0360208 188.5014
26 37.99999999999801 92.99999999999896 40.000000000000014 37.99999981261132 92.999999969964 39.5552219153107 2.7536491075902365 3.756409945368061 3.5525877352208663 3928.433768382583 7.174713556485258 15234.65637887775 38.25003880825568 93.24999448494137 3.9601236 2.451666 203.7905
27 68.99999999999709 20.999999999998977 92.0 69.00000000976635 20.999999991157424 92.00653076100815 3.880238807433267 2.4925010963765306 3.3101977608690847 2893.378675845456 5.8566046898726585 13493.82215338119 69.24953325370349 21.249994692232377 3.94371 2.3908356 257.0296
28 94.00000000000273 71.99999999999898 51.0 94.00000001300886 71.99999999747665 50.975696690249556 2.456928848116607 3.548776539998266 4.24103218052577 3418.7336187296887 5.950773468062467 15703.01841804346 94.25033491147774 72.24999980751868 3.6057564 2.3725452000000002 193.6083
29 70.99999999999554 57.999999999998984 95.0 71.00000014594647 57.99999987782287 95.31049480990045 2.5645864559491987 3.262158297206378 4.8267691439981055 1335.260864453515 2.256426096019697 14080.384357901461 71.25055836908503 58.25000162931547 3.5302704 2.180832 209.0972
30 81.99999999999861 67.99999999999898 60.00000000000002 82.00000025017978 67.99999997603464 59.644569075728796 2.5097219613656834 3.610482132069311 3.7544577831777417 3374.571356152935 6.319954397191063 14631.607244839564 82.2501822733943 68.24999873362144 3.645804 2.458146 349.174
31 39.99999999999875 63.99999999999899 21.00000000000001 39.99999988750321 64.00000007071783 21.439525832021356 2.879901350230689 3.483106429825797 3.87391087450577 4879.164881735154 8.898012999577382 15729.866401493013 40.24968772783632 64.2500017991475 3.9038196 2.2773516000000003 213.7938
32 47.999999999997385 18.99999999999899 64.99999999999999 47.99999984562987 18.99999980150814 65.44899755618312 3.7083494984140075 2.4415071387256884 3.216776423009249 3464.5951848667646 7.740770195725873 12553.003934329066 48.25043764078845 19.24999347084885 3.804822 2.2882956 286.2765
33 32.999999999998494 38.999999999998984 52.99999999999999 32.99999999261303 39.00000000224193 53.497531901865436 2.61014844207572 3.5769342557801154 3.677516632732917 3329.286191313696 7.102504210147265 12988.852962421512 33.25049847098728 39.24999487855826 3.9321516 2.0360904 209.0614
34 88.00000000000016 40.99999999999899 75.00000000000001 88.00000015091183 40.99999987522582 74.78266818025129 2.130520098391901 3.791597912898268 3.003123058625847 3388.7217489907375 9.072103024028879 10765.433318160407 88.24996052433508 41.24999660730331 3.8371872000000002 2.0473728 349.5449
35 15.999999999999005 39.99999999999898 60.00000000000002 16.00000004799014 40.00000010152495 60.04521181850956 2.488482620925231 3.896730572748752 4.174591123350617 3332.512200836171 5.230089382659619 17115.844686897395 16.250192556185937 40.24999548662645 3.9158028 2.4584376 352.7488
36 23.999999999999687 35.999999999998984 46.00000000000001 24.000000164782136 35.99999962242554 45.811653086566636 2.447361703756741 3.4673025289402006 3.310695294656579 3620.887633716981 8.734141142732403 11931.40640640779 24.249487045039757 36.24999947943179 3.649854 2.1657336 202.8464
37 25.999999999997357 37.99999999999899 96.00000000000001 26.00000008841775 38.00000004358365 96.45294172503252 2.289916907076881 3.5903288009696506 3.57395771316458 2027.5400088967965 4.4683151863890975 11863.664079275919 26.250513503754803 38.24999828852191 3.6659243999999997 2.166882 345.5129
38 66.99999999999639 60.99999999999896 72.00000000000001 66.99999976705656 60.99999980967243 71.82974960370639 2.5542771464402767 3.828975786799535 4.316792467299956 4905.148989668733 7.626169486296328 18133.713585596142 67.25050120192154 61.25000069075665 3.9320939999999998 2.3925156000000003 343.3532
39 37.9999999999973 20.999999999998963 83.0 37.9999998938095 20.999999977360403 82.93488311971406 3.7043151260487197 2.3568578655791845 3.982772039607935 3734.836157944466 6.815217030484343 15245.826537030616 38.24967141428823 21.250003926044144 3.7117236 2.345226 265.3511
40 46.999999999999545 56.999999999998984 57.0 47.00000008039743 57.00000012842466 56.73781221007625 2.4925715200667424 3.486470397464745 3.4112075730765556 3774.1428505663453 8.166698135350881 13138.559983740017 47.24966244538379 57.25000055236875 3.5372136000000003 2.420034 346.6347
