PIDENT peak1 peak2 peak3 cen1 cen2 cen3 size1 size2 size3 sum peak volume Glon Glat Sigma_max Sigma_min Angle
1 97.00000000000139 30.999999999998984 46.00000000000001 97.00000025950635 30.99999954753347 46.213889783804085 2.505888297490833 3.582988835733867 4.776205593894999 1607.835580707842 2.375314402028791 16216.727718352984 97.2496476512129 31.250000487980962 3.6075 2.4704844 350.8203
2 79.99999999999932 33.99999999999898 21.999999999999993 79.99999985402222 34.00000044445415 21.727009489071715 2.3390090667039143 3.7440545763154423 3.4626351640464472 3637.353847896729 7.8050029394101195 13165.177512985192 80.25054534470613 34.24999784961057 3.8118984 2.2267943999999997 193.3894
3 74.00000000000091 55.99999999999898 55.00000000000001 74.00000013409456 56.000000179618986 55.48381828564831 2.434757624868016 3.388213957781741 3.2231791873327302 1077.2118185904496 2.7741920984573882 9420.13034448103 74.25008204325925 56.25000343862756 3.6165672 2.0805492 334.701
4 38.999999999998636 83.999999999999 24.999999999999993 38.999999880061324 83.99999994766317 24.55538968957058 3.631321656611838 2.261442661126567 4.480496369590202 3746.9200806937815 6.422507423322618 16057.874313241038 39.24951995586875 84.24999947608286 3.634776 2.2559532 273.1858
5 108.00000000000051 34.999999999999 42.0 107.99999994618604 34.99999983600624 42.434177557672726 2.3276010506351863 3.4474820919647073 3.969218749801269 1500.808837846542 3.2519291711168674 11539.725406349398 108.24971072934117 35.2500018920804 3.6475692 1.9995396 202.9977
6 97.99999999999878 107.99999999999896 61.00000000000001 98.0000000960917 108.00000011984156 61.215687568713996 3.8202514388992523 2.5670614597682646 3.997551542705041 1576.3040842070911 2.580751612141341 14824.992183133494 98.24940744350589 108.25000299737746 3.8723676000000005 2.4878052 257.6924
7 33.00000000000165 29.999999999999005 97.0 33.00000018957468 30.00000002569397 96.86331956767712 3.2965435855059306 2.6452956484805124 3.641623844925861 2840.758300820547 6.075044643557386 12816.301104112139 33.250367025009666 30.24999455952225 3.559128 2.2798248 240.6176
8 101.00000000000105 23.99999999999899 83.0 101.00000001948607 23.999999905469707 82.90729551753395 3.2897789927476637 3.0066188969597607 4.390878676292035 5282.1636531800095 9.236314496981949 16580.331987348953 101.24949724069435 24.24999391553935 3.9360648000000005 2.0904648000000003 310.396
9 71.99999999999909 19.99999999999899 18.999999999999996 72.00000030941695 20.000000555061362 18.629466154776317 2.469240073834996 3.7740238250558065 3.6084225346893657 1304.1821936081387 2.5975033484298216 12127.479829075268 72.24946766172795 20.250005055037235 3.9232008 2.224686 340.6467
10 102.00000000000098 17.999999999998977 64.99999999999999 102.00000001189977 17.999999995549985 65.49821471680835 3.727404854715814 2.5452413619607923 3.2243786798829404 2780.527366763324 5.744417206269604 13030.348896356378 102.24943911995818 18.249998988944398 3.764124 2.4906432 259.3013
11 93.99999999999888 43.999999999998984 98.0 94.00000025903637 44.00000046654173 98.19425985848365 3.0275403572365787 3.317980174110748 3.824815969633257 2067.489975584763 3.9850731483289583 13391.554595208236 94.25051038512629 44.250003396657775 3.9286380000000003 2.1773616 319.9701
12 19.999999999998437 68.99999999999898 78.00000000000001 20.00000006386125 68.99999974769993 77.80676226112531 3.49649453152169 2.725337218042446 4.59134196017244 2331.274289075119 3.782021117671335 15816.6145019222 20.250311412965033 69.24999756222759 3.8475767999999997 2.202084 239.4252
