PIDENT peak1 peak2 peak3 cen1 cen2 cen3 size1 size2 size3 sum peak volume Glon Glat Sigma_max Sigma_min Angle
1 60.9999999999998 96.99999999999898 37.000000000000014 61.000000167239335 96.99999990784919 36.670219014434736 2.5420969160960376 3.364632691150083 3.9567653936531 2169.9037279655718 4.270694673440859 13239.37634685711 61.250483098594515 97.25000321436917 3.5484744 2.278482 335.5314
2 27.000000000000256 104.99999999999895 76.0 26.999999924123614 104.99999973736284 76.15702964765907 3.3409972692944803 3.135456189900918 3.10253541954622 2203.7635827304443 4.721394062816897 12374.271193478367 27.25054041143528 105.24999151885547 3.8630928000000004 2.4637548000000002 229.3405
3 16.999999999997158 56.99999999999898 60.00000000000002 17.000000443316992 57.000000011329234 60.086260484237286 3.311325531208722 3.0003951282572356 4.582630855302679 1978.0496203134148 3.377910474625237 14765.058496785745 17.250303039187315 57.24999961181147 3.9862608 2.0192723999999997 229.7983
4 87.0000000000051 57.999999999998984 80.0 87.00000069603576 58.0000001176358 80.10318025627605 3.794819332435506 2.156800430332155 3.1110760281363516 1372.9234136434457 3.528511007194814 9886.566593212074 87.24978571222141 58.24999843207712 3.8561759999999996 2.0451995999999997 282.103
5 67.99999999999876 19.99999999999899 15.999999999999996 68.00000058012832 20.000000048395165 16.4166359480336 3.1743551732105737 3.117348514333485 3.376928834135129 1172.6758819075126 2.467444696992696 11380.038800965975 68.24967146558845 20.24999632291069 3.7965264000000003 2.3196491999999997 313.8725
6 92.0000000000021 83.99999999999896 33.00000000000001 92.0000002770864 83.99999985078549 33.371115816397825 3.036558197831245 3.247606903711808 4.5355814119654685 2688.136611392007 4.100408018377931 16933.921453212733 92.24966261141691 84.24999821646146 3.7028976 2.4609479999999997 220.0214
7 104.99999999999922 97.99999999999896 76.0 104.99999994337787 98.00000029632693 76.31507191743529 2.402347056880606 3.7864103202582546 3.720237834277825 3749.6582487061196 7.005603192419472 14895.791303270184 105.25033540131578 98.24999451435338 3.795486 2.3880432 185.1011
8 103.99999999999903 18.99999999999899 97.0 103.99999931224589 18.99999995537536 97.37431288919383 3.0477587515396793 2.895069894425835 3.065895322734392 1265.0091548069513 3.180260309129037 9895.107657495406 104.25009095872646 19.249998882596913 3.5038152 2.3224116 228.7982
9 81.00000000000026 96.99999999999896 36.00000000000001 81.00000018764048 97.0000001634609 35.73718085801127 2.913667608709844 3.276457254058032 3.6000222209935653 1612.842043068639 3.1403176032155264 12789.89134745166 81.25013242368671 97.2500002197497 3.6143796 2.4821244 324.5037
10 64.00000000000125 80.99999999999899 57.0 64.00000001085455 81.00000024416008 57.30088661186928 3.3244490110612688 2.8728395019489077 4.5488727580284705 1472.003417999493 2.502941477060836 14151.293097198335 64.25023382196525 81.25000347004725 3.8480064 2.1208956 232.8889
11 89.00000000000158 76.99999999999898 97.0 88.99999990385012 77.00000032218412 96.81893188082034 2.8748162751254793 2.986778053830183 4.25092145015903 4130.073408682512 7.922799092216734 14811.053819192482 89.24985814499003 77.2500015552267 3.5093123999999998 2.2068852000000003 222.4817
12 86.00000000000064 73.99999999999896 88.0 86.00000026681207 73.99999983676423 87.87525938070259 2.5679302579589938 3.291186719738334 3.8271999566473163 1961.152661211418 4.361127873625149 11751.360191069556 86.24949536760951 74.249994177324 3.6464688 2.03214 211.2437
13 88.00000000000122 94.99999999999899 18.999999999999996 88.00000012114454 95.00000012867558 18.83345596616332 3.1741193207617178 2.719740503403032 3.009320564572209 2203.5368569068423 5.967364872520499 10081.023793888338 88.24989641129523 95.24999746053417 3.5715984 2.1715884 305.2827
14 37.999999999996476 64.99999999999898 67.0 38.00000005641235 64.99999984852043 67.05805973514789 2.460064701530844 3.785440183674475 4.637564064142294 5822.236210242113 8.965120787632003 18756.6528308062 38.24962887055881 65.24999756233777 3.905094 2.265384 197.5663
15 46.00000000000264 68.99999999999898 78.00000000000001 46.00000025231094 69.0000001111566 78.30376508377978 2.4491736985123387 3.920613343398605 3.0311656220822534 4017.9288653667954 8.877159626331228 12967.231964851782 46.24956232915903 69.24999254853508 3.9640079999999998 2.3783304000000003 349.3873
